"datetime","machineID","volt","rotate","pressure","vibration"
2015-01-01 06:00:00,1,176.217853015625,418.504078221616,113.077935462083,45.0876857639276
2015-01-02 00:00:00,1,180.097494604215,486.712303934437,96.7339151541194,38.8967757315964
2015-01-03 00:00:00,1,179.550116165584,502.78745627213,109.966020203034,41.7306976683389
2015-01-04 00:00:00,1,195.173086155571,436.173620108302,103.833238374841,49.9471020513049
2015-01-05 00:00:00,1,161.928938166727,376.719605203938,89.9695883700509,58.0874878071692
2015-01-06 00:00:00,1,163.763723173977,471.304633352092,115.895842117089,45.6221700011651
2015-01-07 00:00:00,1,170.442767454822,458.109104784199,105.423488883634,46.0911448826413
2015-01-08 00:00:00,1,172.379381592369,528.596952137017,105.052661897191,36.865654004127
2015-01-09 00:00:00,1,157.302160202546,526.168522088875,103.521572773475,37.9304263379437
2015-01-10 00:00:00,1,192.075780292787,457.791608084886,102.703776394375,40.8958937484602
2015-01-11 00:00:00,1,168.68039493224,359.244094608819,96.1348856473677,43.9323022150168
2015-01-12 00:00:00,1,168.311616334328,367.166562892775,100.109652395054,36.5453361122887
2015-01-13 00:00:00,1,161.291267418734,450.709890111852,113.617315512218,42.1870198811555
2015-01-14 00:00:00,1,191.949245677899,471.006621331654,83.4378913362033,46.37320026822
2015-01-15 00:00:00,1,151.656475775002,455.446129234279,110.408773931588,39.2994886917804
2015-01-16 00:00:00,1,181.438125963288,453.024918853081,104.380330848316,46.4542263900062
2015-01-17 00:00:00,1,206.461803496537,473.22289071716,114.997567924912,39.3599386032944
2015-01-18 00:00:00,1,200.645893270987,451.67613185969,93.0895955364553,37.9723656135992
2015-01-19 00:00:00,1,164.795883493888,487.687655284075,87.9364648823528,32.5598147368381
2015-01-20 00:00:00,1,149.150107738069,457.902655819087,116.55763854373,51.4682086625401
2015-01-21 00:00:00,1,156.125935366416,446.318333767959,75.8259578539988,31.1831541114718
2015-01-22 00:00:00,1,157.260968058064,505.114925461873,91.2683910820442,33.4430225455727
2015-01-23 00:00:00,1,156.542201870095,469.429046264866,97.8466641144559,35.9235794207764
2015-01-24 00:00:00,1,168.271332798062,417.519869015015,112.51291879018,39.7506168049898
2015-01-25 00:00:00,1,184.962648761619,459.439264253447,89.7006532314981,45.794000300297
2015-01-26 00:00:00,1,171.936281017482,421.656677071231,102.88500865327,45.9031630376397
2015-01-27 00:00:00,1,189.484401141264,519.808274678811,90.4534870327809,44.2530522984831
2015-01-28 00:00:00,1,225.189484965024,454.693310453888,84.6208360875817,38.371660432007
2015-01-29 00:00:00,1,168.298684265054,393.438350059844,110.429846885346,27.7025152875783
2015-01-30 00:00:00,1,179.079357736407,481.869355954264,103.192673304629,44.7829063704034
2015-01-31 00:00:00,1,205.367260814017,377.513738797457,104.433511228351,44.7493290807508
2015-02-01 00:00:00,1,161.366805222819,354.403540144984,87.5292604397294,40.6794712225485
2015-02-02 00:00:00,1,162.429157058379,424.073403605021,88.3015922460889,30.3569579819528
2015-02-03 00:00:00,1,142.55093495554,548.320367530378,83.9853385613231,46.4012368449417
2015-02-04 00:00:00,1,172.992597523059,352.43570116167,105.425433629136,32.0167635249734
2015-02-05 00:00:00,1,181.576182356711,513.909376594316,99.5918144771312,38.8434639743171
2015-02-06 00:00:00,1,175.160316312443,374.596459057699,95.8399295704951,37.1877931968467
